Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Guzzler? ,Air Aspiration Method Desc,Trans Desc,# Gears,Lockup Torque Converter,Trans Creeper Gear,Drive Desc,Max Ethanol % - Gasoline,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class Desc,Release Date,EPA FE Label Dataset ID,Var Valve Timing?,Var Valve Lift?,Energy Storage Device Desc,# Batteries,Battery Type Desc,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Regen Braking Type Desc,"Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,# Drive Motor Gen,Motor Gen Type Desc,Rated Motor Gen Power (kW),Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System)  Description,MFR Calculated Gas Guzzler MPG ,FE Rating (1-10 rating on Label),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ford Motor Company,Ford,C-MAX Hybrid FWD,FMX,2.0,4,Auto(AV),42,37,40,,Naturally Aspirated,Continuously Variable,1,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1100,1100,Large Cars,9/10/15,18847,Y,N,Battery(s),1,Lithium Ion,280,4.75,31.7,On-Board,Electrical Regen Brake,Front Wheels,N,1,"DC Permanent Magnet, brushless",64,Multipoint/sequential fuel injection,N,N,N,"0W-20, GF-5",Yes,55.3,9,3500,,212,241,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Kia,KIA MOTORS CORPORATION,Optima HYBRID,KMX,2.4,4,Auto(AM6),36,40,38,,Naturally Aspirated,Automated Manual,6,N,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1200,1200,Midsize Cars,6/30/15,17968,Y,N,Battery(s),1,Lithium Ion,270,5.3,34.8,On-Board,Electrical Regen Brake,Front Wheels,N,1,Other,35,Multipoint/sequential fuel injection,N,N,N,5W-20 GF4,Yes,51.8,9,3000,,247,224,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,MAZDA,MAZDA,MAZDA 2,TKX,1.5,4,Auto(S6),33,43,37,,Naturally Aspirated,Semi-Automatic,6,Y,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1200,1200,Compact Cars,4/3/15,17708,Y,N,,,,,,,,,,,,,,Spark Ignition Direct Injection,,,N,GF-5 0W-20,No,50.8,8,3000,,266,206,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Kia,KIA MOTORS CORPORATION,Optima HYBRID EX,KMX,2.4,4,Auto(AM6),35,39,37,,Naturally Aspirated,Automated Manual,6,N,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1200,1200,Midsize Cars,6/30/15,17967,Y,N,Battery(s),1,Lithium Ion,270,5.3,34.8,On-Board,Electrical Regen Brake,Front Wheels,N,1,Other,35,Multipoint/sequential fuel injection,N,N,N,5W-20 GF4,Yes,50.7,8,3000,,252,229,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Toyota,SCION,iA,TYX,1.5,4,Auto(S6),33,42,37,,Naturally Aspirated,Semi-Automatic,6,Y,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1200,1200,Subcompact Cars,6/4/15,17800,Y,N,,,,,,,,,,,,,,Spark Ignition Direct Injection,,,N,GF-5 0W-20,No,50.2,8,3000,,270,210,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Toyota,TOYOTA,YARIS,TYX,1.5,4,Auto(S6),33,42,37,,Naturally Aspirated,Semi-Automatic,6,Y,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1200,1200,Compact Cars,6/4/15,17801,Y,N,,,,,,,,,,,,,,Spark Ignition Direct Injection,,,N,GF-5 0W-20,No,50.2,8,3000,,270,210,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Honda,Honda,FIT,HNX,1.5,4,Auto(AV),33,41,36,,Naturally Aspirated,Continuously Variable,1,Y,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1250,1250,Small Station Wagons,4/1/15,17680,Y,Y,,,,,,,,,,,,,,Spark Ignition Direct Injection,N,N,N,0W-20,No,50.5,8,2750,,269,216,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ford Motor Company,Ford,Fiesta SFE FWD,FMX,1.0,3,Manual(M5),31,43,36,,Turbocharged,Manual,5,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1250,1250,Subcompact Cars,7/27/15,18294,Y,N,,,,,,,,,,,,,,Spark Ignition Direct Injection,,,N,5W20 GF-5,No,48.7,8,2750,,280,206,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),MBX,0.9,3,Auto(AM6),34,39,36,,Turbocharged,Automated Manual,6,N,N,"2-Wheel Drive, Rear",10,Gasoline (Premium Unleaded Required),1400,1400,Two Seaters,9/16/15,19003,Y,N,,,,,,,,,,,,,,Spark Ignition Direct Injection,,,N,5W30,No,50.6,8,2000,,264,224,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BMW,BMW,328d,BMX,2.0,4,Auto(S8),32,42,36,,Turbocharged,Semi-Automatic,8,Y,N,"2-Wheel Drive, Rear",,"Diesel, ultra low sulfur (15 ppm, maximum)",1400,1400,Compact Cars,7/29/15,18784,N,N,,,,,,,,,,,,,,Common Rail Direct Diesel Injection,,,N,0W30,No,49.9,8,2000,,318,242,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
